 Descriptor,Time,Date,Day of Week,Police Report,Lighting Conditions,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Traffic Control Device,Road Surface Conditions,Pedestrian Bicyclist Action,Event Descriptor,Number of Vehicles Involved
 Damage Accident,22:13,05/25/2014,Sunday,Y,Dark-Road Unlighted,FAYETTE,OTHER,SENECA,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Accident,15:22,04/14/2014,Monday,Y,Daylight,YONKERS,LEFT TURN (3),WESTCHESTER,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,16:15,01/29/2014,Wednesday,Y,Daylight,NORTH HEMPSTEAD,OTHER,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Accident,0:00,12/30/2014,Tuesday,N,Unknown,NEW YORK,Unknown,NEW YORK,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:48,09/04/2014,Thursday,Y,Daylight,SOUTHAMPTON,REAR END,SUFFOLK,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,15:05,06/26/2014,Thursday,Y,Daylight,OYSTER BAY,OTHER,NASSAU,Straight and Grade,Cloudy,None,Dry,"Crossing, No Signal or Crosswalk","Bicyclist, Collision With",1
 Accident,20:23,01/17/2014,Friday,Y,Dark-Road Unlighted,FREEDOM,OTHER,CATTARAUGUS,Straight and Level,Clear,No Passing Zone,Dry,Not Applicable,Deer,1
 Damage & Injury Accident,10:50,02/13/2014,Thursday,Y,Daylight,QUEENS,OTHER,QUEENS,Straight and Level,Snow,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,19:08,11/05/2014,Wednesday,Y,Dark-Road Unlighted,ARCADIA,OTHER,WAYNE,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Damage Accident,15:30,12/08/2014,Monday,Y,Daylight,DEPEW,RIGHT ANGLE,ERIE,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:30,11/05/2014,Wednesday,Y,Dawn,ULYSSES,OTHER,TOMPKINS,Straight and Level,Cloudy,None,Wet,Not Applicable,Deer,1
 Accident,21:05,10/30/2014,Thursday,Y,Dark-Road Lighted,FREEPORT,OTHER,NASSAU,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other*, Non-Collision",1
 Damage Accident,14:50,05/22/2014,Thursday,Y,Daylight,BRONX,Unknown,BRONX,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:48,09/27/2014,Saturday,Y,Daylight,LINDENHURST,Unknown,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:25,06/30/2014,Monday,Y,Daylight,NORTH HEMPSTEAD,OVERTAKING,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:00,03/03/2014,Monday,Y,Daylight,DOBBS FERRY,OVERTAKING,WESTCHESTER,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:45,11/03/2014,Monday,Y,Daylight,ROCHESTER,RIGHT ANGLE,MONROE,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,04/04/2014,Friday,N,Daylight,BRONX,OVERTAKING,BRONX,Curve and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,19:00,09/02/2014,Tuesday,Y,Daylight,KINGS,REAR END,KINGS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,21:35,05/30/2014,Friday,Y,Dark-Road Lighted,HEMPSTEAD,OTHER,NASSAU,Straight and Level,Cloudy,Traffic Signal,Wet,"Crossing, With Signal","Bicyclist, Collision With",1
 Damage Accident,15:00,05/12/2014,Monday,N,Daylight,CLAY,OVERTAKING,ONONDAGA,Straight and Grade,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,7:06,10/10/2014,Friday,Y,Dawn,ELLERY,OTHER,CHAUTAUQUA,Straight and Level,Clear,No Passing Zone,Dry,Not Applicable,Deer,1
 Damage Accident,12:10,10/18/2014,Saturday,Y,Daylight,BROOKHAVEN,RIGHT ANGLE,SUFFOLK,Curve and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:00,06/17/2014,Tuesday,N,Daylight,BRONX,Unknown,BRONX,Straight at Hill Crest,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,09/10/2014,Wednesday,N,Unknown,ISLIP,Unknown,SUFFOLK,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,7:00,10/07/2014,Tuesday,Y,Dawn,CATSKILL,OTHER,GREENE,Straight and Level,Cloudy,No Passing Zone,Wet,Not Applicable,"Animal, Collision With",1
 Damage Accident,20:55,04/30/2014,Wednesday,N,Unknown,NEW YORK,Unknown,NEW YORK,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,12:40,03/13/2014,Thursday,Y,Daylight,OYSTER BAY,REAR END,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,16:00,06/02/2014,Monday,Y,Daylight,BROOKHAVEN,SIDESWIPE,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:28,12/13/2014,Saturday,Y,Dark-Road Unlighted,STANFORD,OTHER,DUTCHESS,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Accident,12:45,04/11/2014,Friday,Y,Daylight,BABYLON,REAR END,SUFFOLK,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,20:12,03/24/2014,Monday,Y,Dark-Road Unlighted,SCRIBA,OTHER,OSWEGO,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Accident,17:15,03/13/2014,Thursday,Y,Daylight,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,None,Dry,"Crossing, No Signal or Crosswalk","Pedestrian, Collision With",1
 Damage Accident,17:30,10/31/2014,Friday,Y,Daylight,NIAGARA,LEFT TURN (3),NIAGARA,Straight and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,2:30,06/07/2014,Saturday,Y,Dark-Road Unlighted,LOCKE,OTHER,CAYUGA,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Damage & Injury Accident,18:41,07/06/2014,Sunday,Y,Daylight,BINGHAMTON,REAR END,BROOME,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,19:55,03/07/2014,Friday,Y,Dark-Road Lighted,KINGS,REAR END,KINGS,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:18,07/24/2014,Thursday,Y,Daylight,RAMAPO,OTHER,ROCKLAND,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,15:10,10/27/2014,Monday,Y,Daylight,KINGS,REAR END,KINGS,Straight and Level,Clear,Unknown,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,1:31,05/26/2014,Monday,Y,Dark-Road Lighted,ROCHESTER,OTHER,MONROE,Straight and Level,Clear,Other,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Accident,12:40,05/20/2014,Tuesday,N,Unknown,NEW YORK,OTHER,NEW YORK,Unknown,Unknown,Unknown,Unknown,Unknown,"Pedestrian, Collision With",1
 Accident,17:40,09/23/2014,Tuesday,Y,Daylight,QUEENS,Unknown,QUEENS,Straight and Grade,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,7:47,04/26/2014,Saturday,Y,Daylight,BRONX,REAR END,BRONX,Straight and Level,Clear,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,14:45,02/13/2014,Thursday,Y,Daylight,HANCOCK,OTHER,DELAWARE,Curve and Level,Snow,None,Snow/Ice,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Accident,7:00,07/18/2014,Friday,Y,Daylight,KINGS,OTHER,KINGS,Curve and Level,Clear,Traffic Signal,Dry,"Crossing, With Signal","Pedestrian, Collision With",1
 Damage Accident,13:00,03/15/2014,Saturday,N,Unknown,,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,11:35,04/15/2014,Tuesday,Y,Daylight,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,None,Wet,"Crossing, No Signal or Crosswalk","Pedestrian, Collision With",1
 Damage Accident,14:30,07/17/2014,Thursday,Y,Daylight,,SIDESWIPE,ROCKLAND,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:53,08/11/2014,Monday,Y,Daylight,ROSLYN,RIGHT ANGLE,NASSAU,Straight and Grade,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,17:39,07/15/2014,Tuesday,Y,Daylight,POMONA,OTHER,ROCKLAND,Straight and Level,Cloudy,Stop Sign,Dry,Not Applicable,"Tree, Collision With Fixed Object",1
 Accident,8:05,02/03/2014,Monday,Y,Daylight,KINGS,OTHER,KINGS,Straight and Level,Snow,Traffic Signal,Slush,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage & Injury Accident,7:22,01/16/2014,Thursday,Y,Dawn,BALLSTON,OTHER,SARATOGA,Straight and Grade,Snow,None,Wet,Not Applicable,"Other Fixed Object*, Collision With Fixed Object",1
 Damage Accident,14:34,07/13/2014,Sunday,N,Daylight,KINGS,REAR END,KINGS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,19:25,09/20/2014,Saturday,N,Unknown,NEW YORK,REAR END,NEW YORK,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,8:48,02/24/2014,Monday,Y,Daylight,PHELPS,REAR END,ONTARIO,Curve and Grade,Snow,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:10,10/12/2014,Sunday,N,Daylight,WEST UNION,OTHER,STEUBEN,Straight and Level,Clear,None,Dry,Not Applicable,"Building/Wall, Collision With Fixed Object",1
 Damage Accident,16:25,02/23/2014,Sunday,Y,Daylight,CLAY,REAR END,ONONDAGA,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:50,07/03/2014,Thursday,Y,Daylight,ELMIRA,RIGHT ANGLE,CHEMUNG,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,18:19,08/21/2014,Thursday,Y,Daylight,CHEEKTOWAGA,HEAD ON,ERIE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,20:17,04/12/2014,Saturday,Y,Dark-Road Unlighted,WEST TURIN,OTHER,LEWIS,Straight and Grade,Clear,None,Dry,Not Applicable,Deer,1
 Accident,20:30,10/29/2014,Wednesday,Y,Dark-Road Lighted,CEDARHURST,OTHER,NASSAU,Straight and Level,Rain,None,Wet,"Crossing, No Signal or Crosswalk","Pedestrian, Collision With",1
 Accident,16:20,04/08/2014,Tuesday,Y,Daylight,BROOKHAVEN,OTHER,SUFFOLK,Straight and Level,Clear,None,Dry,Going to/From Stopped School Bus,"Pedestrian, Collision With",1
 Accident,10:45,08/18/2014,Monday,Y,Daylight,SOUTHEAST,REAR END,PUTNAM,Curve and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,19:20,11/30/2014,Sunday,Y,Dark-Road Lighted,QUEENS,REAR END,QUEENS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:30,02/28/2014,Friday,N,Unknown,BRONX,Unknown,BRONX,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:00,05/13/2014,Tuesday,N,Unknown,KINGS,LEFT TURN (3),KINGS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,20:50,06/01/2014,Sunday,Y,Daylight,BRONX,REAR END,BRONX,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,02/20/2014,Thursday,N,Unknown,PEEKSKILL,Unknown,WESTCHESTER,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,15:45,10/28/2014,Tuesday,N,Daylight,AUBURN,OTHER,CAYUGA,Straight and Level,Cloudy,None,Dry,Not in Roadway (Indicate),"Pedestrian, Collision With",1
 Damage Accident,13:30,12/12/2014,Friday,N,Daylight,ISLANDIA,REAR END,SUFFOLK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:10,03/30/2014,Sunday,Y,Daylight,BROOKHAVEN,REAR END,SUFFOLK,Straight and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,19:15,10/12/2014,Sunday,Y,Dark-Road Lighted,KINGS,OTHER,KINGS,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, Against Signal","Pedestrian, Collision With",1
 Damage Accident,16:00,10/18/2014,Saturday,Y,Daylight,SOMERSET,OTHER,NIAGARA,Straight and Level,Cloudy,None,Dry,Not Applicable,Deer,1
 Damage Accident,10:46,12/08/2014,Monday,N,Daylight,BRONX,Unknown,BRONX,Straight and Level,Cloudy,Unknown,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:30,10/01/2014,Wednesday,Y,Daylight,BUFFALO,OVERTAKING,ERIE,Straight and Grade,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,15:30,11/30/2014,Sunday,Y,Daylight,QUEENS,OTHER,QUEENS,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Accident,11:55,08/24/2014,Sunday,Y,Daylight,YONKERS,REAR END,WESTCHESTER,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,8:20,06/06/2014,Friday,N,Daylight,ALBANY,OVERTAKING,ALBANY,Straight and Level,Clear,Unknown,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,8:30,06/02/2014,Monday,Y,Daylight,ISLIP,REAR END,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,01/02/2014,Thursday,N,Unknown,CANTON,REAR END,ST. LAWRENCE,Unknown,Snow,Unknown,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:58,07/23/2014,Wednesday,Y,Daylight,ASHFORD,OTHER,CATTARAUGUS,Curve and Grade,Rain,No Passing Zone,Wet,Not Applicable,Deer,1
 Damage Accident,18:15,01/04/2014,Saturday,Y,Dark-Road Unlighted,ANDES,OTHER,DELAWARE,Curve and Grade,Clear,No Passing Zone,Dry,Not Applicable,Deer,1
 Damage Accident,12:30,09/08/2014,Monday,Y,Daylight,NEW YORK,REAR END,NEW YORK,Straight and Level,Cloudy,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,10:57,05/09/2014,Friday,Y,Daylight,HEMPSTEAD,RIGHT ANGLE,NASSAU,Straight and Level,Cloudy,Stop Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,15:00,05/03/2014,Saturday,Y,Daylight,BRONX,RIGHT ANGLE,BRONX,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:20,12/24/2014,Wednesday,Y,Daylight,AUBURN,OTHER,CAYUGA,Straight and Level,Cloudy,Stop Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",3
 Accident,20:25,09/26/2014,Friday,Y,Dark-Road Lighted,QUEENS,OTHER,QUEENS,Straight and Level,Clear,None,Dry,"Crossing, No Signal or Crosswalk","Pedestrian, Collision With",1
 Damage Accident,11:01,12/01/2014,Monday,Y,Daylight,WALLKILL,OTHER,ORANGE,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Fire/Explosion, Non-Collision",1
 Accident,12:50,12/15/2014,Monday,Y,Daylight,BRONX,OTHER,BRONX,Straight and Level,Clear,Traffic Signal,Dry,Unknown,"Pedestrian, Collision With",1
 Accident,20:30,12/15/2014,Monday,Y,Dawn,KINGS,OTHER,KINGS,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, With Signal","Pedestrian, Collision With",1
 Accident,7:38,11/18/2014,Tuesday,Y,Daylight,ALBANY,REAR END,ALBANY,Straight and Level,Cloudy,School Zone,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,0:17,08/21/2014,Thursday,Y,Dusk,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,None,Dry,Other Actions in Roadway,"Pedestrian, Collision With",1
 Damage Accident,3:00,02/14/2014,Friday,N,Unknown,KINGS,Unknown,KINGS,Straight and Level,Snow,Unknown,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,19:20,10/26/2014,Sunday,Y,Dusk,KINGS,OTHER,KINGS,Straight and Level,Clear,Traffic Signal,Dry,Unknown,"Pedestrian, Collision With",1
 Damage Accident,17:50,01/11/2014,Saturday,N,Unknown,NEW YORK,Unknown,NEW YORK,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:51,06/03/2014,Tuesday,Y,Daylight,HERKIMER,OTHER,HERKIMER,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Accident,6:20,01/17/2014,Friday,Y,Dark-Road Lighted,QUEENS,OTHER,QUEENS,Straight and Level,Clear,None,Dry,"Crossing, No Signal or Crosswalk","Pedestrian, Collision With",1
 Accident,0:30,09/11/2014,Thursday,Y,Dark-Road Lighted,QUEENS,REAR END,QUEENS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,14:20,09/01/2014,Monday,Y,Daylight,QUEENS,Unknown,QUEENS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,7:21,03/15/2014,Saturday,Y,Daylight,GLEN,REAR END,MONTGOMERY,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:30,08/15/2014,Friday,N,Daylight,QUEENS,RIGHT ANGLE,QUEENS,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,10:32,11/07/2014,Friday,Y,Daylight,KINGS,OTHER,KINGS,Straight and Level,Clear,None,Dry,"Crossing, No Signal, Marked Crosswalk","Bicyclist, Collision With",1
 Accident,15:58,10/23/2014,Thursday,Y,Daylight,LACKAWANNA,OTHER,ERIE,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Accident,7:30,08/30/2014,Saturday,Y,Daylight,QUEENS,OTHER,QUEENS,Straight and Level,Clear,Stop Sign,Dry,"Crossing, No Signal, Marked Crosswalk","Pedestrian, Collision With",1
 Damage Accident,12:00,10/17/2014,Friday,Y,Daylight,HEMPSTEAD,LEFT TURN (3),NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:00,02/08/2014,Saturday,Y,Daylight,SYRACUSE,OVERTAKING,ONONDAGA,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:05,07/21/2014,Monday,N,Daylight,QUEENS,OVERTAKING,QUEENS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:43,03/17/2014,Monday,Y,Dawn,WESTBURY,REAR END,NASSAU,Straight and Grade,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:30,06/05/2014,Thursday,Y,Daylight,LYNBROOK,RIGHT ANGLE,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,14:00,10/01/2014,Wednesday,Y,Daylight,QUEENS,Unknown,QUEENS,Straight and Level,Cloudy,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
